id,scenario,volume,volumecontinu,date
1,Quartier ideal,32,24.42,2023-01-01
2,Quartier ideal,29,22.17697328,2023-01-08
3,Quartier ideal,26,20.0953485,2023-01-15
4,Quartier ideal,15,18.16840376,2023-01-22
5,Quartier ideal,9,16.38954394,2023-01-29
6,Quartier ideal,8,14.75230063,2023-02-05
7,Quartier ideal,5,13.25033218,2023-02-12
8,Quartier ideal,2,11.87742368,2023-02-19
9,Quartier ideal,1,10.62748698,2023-02-26
10,Quartier ideal,2,9.494560641,2023-03-05
11,Quartier ideal,1,8.47281,2023-03-12
12,Quartier ideal,3,7.556527121,2023-03-19
13,Quartier ideal,4,6.740130816,2023-03-26
14,Quartier ideal,2,6.018166641,2023-04-02
15,Quartier ideal,3,5.385306896,2023-04-09
16,Quartier ideal,5,4.836350625,2023-04-16
17,Quartier ideal,10,4.366223616,2023-04-23
18,Quartier ideal,9,3.969978401,2023-04-30
19,Quartier ideal,7,3.642794256,2023-05-07
20,Quartier ideal,9,3.379977201,2023-05-14
21,Quartier ideal,6,3.17696,2023-05-21
22,Quartier ideal,10,3.029302161,2023-05-28
23,Quartier ideal,8,2.932689936,2023-06-04
24,Quartier ideal,5,2.882936321,2023-06-11
25,Quartier ideal,8,2.875981056,2023-06-18
26,Quartier ideal,7,2.907890625,2023-06-25
27,Quartier ideal,7,2.974858256,2023-07-02
28,Quartier ideal,10,3.073203921,2023-07-09
29,Quartier ideal,9,3.199374336,2023-07-16
30,Quartier ideal,4,3.349942961,2023-07-23
31,Quartier ideal,0,3.52161,2023-07-30
32,Quartier ideal,0,3.711202401,2023-08-06
33,Quartier ideal,3,3.915673856,2023-08-13
34,Quartier ideal,2,4.132104801,2023-08-20
35,Quartier ideal,0,4.357702416,2023-08-27
36,Quartier ideal,1,4.589800625,2023-09-03
37,Quartier ideal,4,4.825860096,2023-09-10
38,Quartier ideal,3,5.063468241,2023-09-17
39,Quartier ideal,4,5.300339216,2023-09-24
40,Quartier ideal,2,5.534313921,2023-10-01
41,Quartier ideal,2,5.76336,2023-10-08
42,Quartier ideal,2,5.985571841,2023-10-15
43,Quartier ideal,5,6.199170576,2023-10-22
44,Quartier ideal,5,6.402504081,2023-10-29
45,Quartier ideal,5,6.594046976,2023-11-05
46,Quartier ideal,2,6.772400625,2023-11-12
47,Quartier ideal,3,6.936293136,2023-11-19
48,Quartier ideal,3,7.084579361,2023-11-26
49,Quartier ideal,5,7.216240896,2023-12-03
50,Quartier ideal,6,7.330386081,2023-12-10
51,Quartier ideal,15,7.42625,2023-12-17
52,Quartier ideal,20,7.503194481,2023-12-24
53,Quartier ideal,22,7.560708096,2023-12-31
54,Quartier ideal,14,7.598406161,2024-01-07
55,Quartier ideal,7,7.616030736,2024-01-14
56,Quartier ideal,5,7.613450625,2024-01-21
57,Quartier ideal,5,7.590661376,2024-01-28
58,Quartier ideal,8,7.547785281,2024-02-04
59,Quartier ideal,10,7.485071376,2024-02-11
60,Quartier ideal,7,7.402895441,2024-02-18
61,Quartier ideal,5,7.30176,2024-02-25
62,Quartier ideal,7,7.182294321,2024-03-03
63,Quartier ideal,8,7.045254416,2024-03-10
64,Quartier ideal,3,6.891523041,2024-03-17
65,Quartier ideal,4,6.722109696,2024-03-24
66,Quartier ideal,4,6.538150625,2024-03-31
67,Quartier ideal,5,6.340908816,2024-04-07
68,Quartier ideal,4,6.131774001,2024-04-14
69,Quartier ideal,5,5.912262656,2024-04-21
70,Quartier ideal,3,5.684018001,2024-04-28
71,Quartier ideal,6,5.44881,2024-05-05
72,Quartier ideal,5,5.208535361,2024-05-12
73,Quartier ideal,3,4.965217536,2024-05-19
74,Quartier ideal,2,4.721006721,2024-05-26
75,Quartier ideal,7,4.478179856,2024-06-02
76,Quartier ideal,3,4.239140625,2024-06-09
77,Quartier ideal,5,4.006419456,2024-06-16
78,Quartier ideal,5,3.782673521,2024-06-23
79,Quartier ideal,4,3.570686736,2024-06-30
80,Quartier ideal,4,3.373369761,2024-07-07
81,Quartier ideal,3,3.19376,2024-07-14
82,Quartier ideal,3,3.035021601,2024-07-21
83,Quartier ideal,4,2.900445456,2024-07-28
84,Quartier ideal,2,2.793449201,2024-08-04
85,Quartier ideal,3,2.717577216,2024-08-11
86,Quartier ideal,1,2.676500625,2024-08-18
87,Quartier ideal,2,2.674017296,2024-08-25
88,Quartier ideal,5,2.714051841,2024-09-01
89,Quartier ideal,7,2.800655616,2024-09-08
90,Quartier ideal,3,2.938006721,2024-09-15
91,Quartier ideal,3,3.13041,2024-09-22
92,Quartier ideal,7,3.382297041,2024-09-29
93,Quartier ideal,2,3.698226176,2024-10-06
94,Quartier ideal,5,4.082882481,2024-10-13
95,Quartier ideal,6,4.541077776,2024-10-20
96,Quartier ideal,5,5.077750625,2024-10-27
97,Quartier ideal,6,5.697966336,2024-11-03
98,Quartier ideal,13,6.406916961,2024-11-10
99,Quartier ideal,10,7.209921296,2024-11-17
100,Quartier ideal,5,8.112424881,2024-11-24
101,Quartier ideal,6,9.12,2024-12-01
102,Quartier ideal,7,10.23834568,2024-12-08
103,Quartier ideal,9,11.4732877,2024-12-15
104,Quartier ideal,15,12.83077856,2024-12-22
105,Quartier ideal,22,14.31689754,2024-12-29
