latitude;longitude;Date1;Date2;Date3;Date4;Date5;Date6;Date7;Date8;Date9;Date10;Date11;Date12;Date13;Date14;Date15;Date16;Date17;Date18;Date19
45.64459;0.11869;;;;;;;;;;;;;;;;;;;
45.63751;0.14252;;;;;;;;;;;;;;;;;;;
45.64026;0.13609;;;;;;;;;;;;;;;;;;;
45.64625;0.1117;;;;;;;;;;;;;;;;;;;
45.64735;0.11632;;;;;;;;;;;;;;;;;;;
45.64832;0.13597;;;;;;;;;;;;;;;;;;;
45.64493;0.11378;;;;;;;;;;;;;;;;;;;
45.64507;0.1133;;;;;;;;;;;;;;;;;;;
45.6456;0.11534;;;;;;;;;;;;;;;;;;;
45.65533;0.18829;;;;;;;;;;;;;;;;;;;
45.65087;0.15694;;;;;;;;;;;;;;;;;;;
45.64492;0.12267;;;;;;;;;;;;;;;;;;;
45.64146;0.13999;;;;;;;;;;;;;;;;;;;
45.65118;0.11284;;;;;;;;;;;;;;;;;;;
45.65021;0.11263;;;;;;;;;;;;;;;;;;;
45.65976;0.16095;;;;;;;;;;;;;;;;;;;
45.65976;0.16095;;;;;;;;;;;;;;;;;;;
45.65976;0.16095;;;;;;;;;;;;;;;;;;;
45.65976;0.16095;;;;;;;;;;;;;;;;;;;
