latitude,longitude,town,postcode,epci,county,images/0,images/1,images/2,images/3,images/4,images/5,images/6,images/7,images/8,images/9,images/10,images/11,images/12,images/13
45.6754,0.24273,Ruelle-sur-Touvre,16600,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/5fe3052c_c85a_4df6_a5d1_6d127057279a_jpg_1a3a062922.jpg,,,,,,,,,,,,,
45.59092,0.27279,Dirac,16410,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/0291_B2_E8_6_B06_4_C7_E_8350_7756_A0_B07728_jpg_846c4b6d2c.jpg,,,,,,,,,,,,,
45.54825,0.12207,Mouthiers-sur-Boëme,16440,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/ca6a7e33_7238_4a67_a833_972e3aff6a9d_jpg_65d561f868.jpg,https://api.v2.clean2gether.com/uploads/8f9351ea_404c_41fe_9f79_7f6ec25a54dd_jpg_2c7fda7ca8.jpg,,,,,,,,,,,,
45.64459,0.11869,Angoulême,16000,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/1_D0_BDF_99_560_E_4_E18_B086_0_FB_69_F6_CCCD_6_jpg_e1b0acfb55.jpg,,,,,,,,,,,,,
45.70302,-0.30443,Boutiers-Saint-Trojan,16100,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/E23_F170_F_AAF_9_437_F_983_C_F3_FE_3_F8_EB_9_C6_jpg_2711778c10.jpg,,,,,,,,,,,,,
45.63751,0.14252,Angoulême,16000,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/e3ad4490_f297_45ff_b455_fa66ce882984_jpg_9ffddb7edb.jpg,,,,,,,,,,,,,
45.64074,0.19529,Soyaux,16800,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/212ef854_898b_42d0_83a2_e64b35889154_jpg_5172e5bbb8.jpg,https://api.v2.clean2gether.com/uploads/3c0506ce_2d6c_4355_8736_2c406eafa0c2_jpg_952ecec497.jpg,,,,,,,,,,,,
45.6417,-0.1382,Saint-Même-les-Carrières,16720,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/C6_FC_6_B2_E_8_CC_9_4_C2_D_AE_8_A_55_CADD_653_C47_jpg_9a4f616544.jpg,https://api.v2.clean2gether.com/uploads/A88_E0_A63_52_A1_481_E_81_BC_65_D4_CE_6_EC_943_jpg_f6e8d22f4b.jpg,,,,,,,,,,,,
45.79096,0.3016,La Rochette,16110,CC La Rochefoucauld - Porte du Périgord,Charente,https://api.v2.clean2gether.com/uploads/4_E9979_A9_C236_43_C3_8072_5_EE_7_D3_E84_A01_jpg_795ddb7496.jpg,,,,,,,,,,,,,
45.73976,0.24252,Brie,16590,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/D4_DB_8520_D9_D2_44_C9_A5_F8_7_AE_5656872_BE_jpg_925a2f4855.jpg,,,,,,,,,,,,,
45.68457,0.23062,Ruelle-sur-Touvre,16600,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/7_DBF_1139_6_B65_4_D33_8_B29_7095_E0138_CA_0_jpg_f8e2bf259d.jpg,https://api.v2.clean2gether.com/uploads/1_C2752_EB_FBB_1_4_FED_8_DE_0_B7_E5175_D464_E_jpg_0cbac624c7.jpg,https://api.v2.clean2gether.com/uploads/686_FA_54_D_DC_40_4_BFB_BD_83_95882098_AA_06_jpg_ffb28b92ca.jpg,,,,,,,,,,,
45.72674,0.22393,Champniers,16430,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/F725_D91_B_7697_4442_9_CEA_05_B4_C7832_E28_jpg_4652b7cbc2.jpg,,,,,,,,,,,,,
45.27346,-0.5716,Saint-Aubin-de-Blaye,33820,CC de l'Estuaire,Gironde,https://api.v2.clean2gether.com/uploads/fc8ccbdf_81c5_4653_9c01_09cfdd86a9e4_jpg_2b12aa926c.jpg,https://api.v2.clean2gether.com/uploads/593c8bf1_d207_42d4_8701_6c64ca48cbc7_jpg_45d39d4f66.jpg,,,,,,,,,,,,
45.64063,0.1934,Soyaux,16800,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/336e13f2_2be3_434b_a323_0d9010a597de_jpg_e28a244870.jpg,,,,,,,,,,,,,
45.67585,0.13639,Saint-Yrieix-sur-Charente,16710,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/52ee9f01_831e_4543_9f93_6b05410a5d6d_jpg_bafe05e4cb.jpg,https://api.v2.clean2gether.com/uploads/4077bd10_3ab6_447d_afce_f8aac7ecf6b7_jpg_0c093c53a5.jpg,,,,,,,,,,,,
45.69194,0.02475,Asnières-sur-Nouère,16290,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/b2c85810_c55a_4fa5_b555_b22f1453975e_jpg_9af32593fc.jpg,,,,,,,,,,,,,
45.62375,0.1296,La Couronne,16400,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/e380ad8d_6215_426a_abd5_6910da05b148_jpg_892222b227.jpg,,,,,,,,,,,,,
45.32927,-0.5001,Courpignac,17130,CC de la Haute Saintonge,Charente-Maritime,https://api.v2.clean2gether.com/uploads/29246b9b_e192_4d00_bb2a_55718cad1e8d_jpg_4e5f0b324c.jpg,https://api.v2.clean2gether.com/uploads/c25de881_57c2_47bc_bb22_898be47824d4_jpg_755cff25fe.jpg,,,,,,,,,,,,
45.57575,-0.31472,Cierzac,17520,CC de la Haute Saintonge,Charente-Maritime,https://api.v2.clean2gether.com/uploads/4647f423_840a_4e59_a7f0_75746e2f4f23_jpg_74c41af354.jpg,,,,,,,,,,,,,
45.5872,-0.33126,Salles-d'Angles,16130,CC de la Haute Saintonge,Charente,https://api.v2.clean2gether.com/uploads/ce222621_6b24_4016_ad89_8b91bb44fef1_jpg_ddc99f01f3.jpg,,,,,,,,,,,,,
45.64026,0.13609,Angoulême,16000,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/571b3162_f57f_4928_97d2_7e793285a36d_jpg_3be612d17b.jpg,,,,,,,,,,,,,
45.65353,-1.1246,Saint-Palais-sur-Mer,17420,CA Royan Atlantique,,https://api.v2.clean2gether.com/uploads/2ba46485_1ea3_4cbe_a156_620c8d0a2ec5_jpg_ee1c9b1e56.jpg,https://api.v2.clean2gether.com/uploads/906d0d6d_375e_466d_9534_293ed879611b_jpg_c40493ea8e.jpg,,,,,,,,,,,,
45.64625,0.1117,Angoulême,16000,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/FA_9_C5_FF_6_E126_44_D8_9880_015_FC_5_C20247_jpg_2d7dcef873.jpg,,,,,,,,,,,,,
45.64735,0.11632,Angoulême,16000,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/F009_D7_A1_460_D_4767_B9_F8_F5_CFC_9_EBE_0_CC_jpg_edb01a6f97.jpg,,,,,,,,,,,,,
45.65433,0.2547,Touvre,16600,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/75c53bb3_9118_4c2f_a74a_8b17fbc68797_jpg_a3ff806bfa.jpg,https://api.v2.clean2gether.com/uploads/9d686904_d529_417d_94db_d46925c9bee3_jpg_54763ea087.jpg,https://api.v2.clean2gether.com/uploads/c400a94f_0772_44cc_a422_efbace9a3c36_jpg_aeb7cea25a.jpg,,,,,,,,,,,
45.79641,-0.03003,Saint-Cybardeaux,16170,CC du Rouillacais,Charente,https://api.v2.clean2gether.com/uploads/076546aa_68c2_4446_95b0_cd007cc4dd36_jpg_23404d036a.jpg,,,,,,,,,,,,,
45.70727,-0.30167,Boutiers-Saint-Trojan,16100,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/7665_E07_F_3_EC_1_4_F23_B12_F_6507_F54_B577_B_jpg_a595d5164c.jpg,,,,,,,,,,,,,
45.79591,-0.03015,Saint-Cybardeaux,16170,CC du Rouillacais,Charente,https://api.v2.clean2gether.com/uploads/c00108dc_e039_46e3_8980_485cc3b3e167_jpg_dfb5260ca2.jpg,,,,,,,,,,,,,
45.53599,-0.16887,Touzac,16120,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/99a770ea_a6a7_4cf4_9fa1_380269a56f5d_jpg_6e8d704113.jpg,,,,,,,,,,,,,
45.46957,-0.20206,Montchaude,16300,CC des 4B Sud Charente,Charente,https://api.v2.clean2gether.com/uploads/adab7072_c863_4530_b29b_ae9c2da90258_jpg_43be9523ce.jpg,,,,,,,,,,,,,
45.58883,-0.34212,Saint-Martial-sur-Né,16130,CC de la Haute Saintonge,Charente-Maritime,https://api.v2.clean2gether.com/uploads/2a06dfef_64d2_4bee_a7b9_e17cf47deaec_jpg_205b21fee8.jpg,,,,,,,,,,,,,
45.62105,0.40377,Saint-Germain-de-Montbron,16380,CC La Rochefoucauld - Porte du Périgord,Charente,https://api.v2.clean2gether.com/uploads/6566471_A_7125_45_EA_A4_F7_EB_7_CB_0_EE_8_FB_9_jpg_969bd8981c.jpg,,,,,,,,,,,,,
45.65401,0.22463,Magnac-sur-Touvre,16600,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/99890705_d747_404d_b346_cbf0452b7fed_jpg_4cb639c18d.jpg,,,,,,,,,,,,,
45.67235,0.00522,Hiersac,16290,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/1fd40ba6_55ff_4b3f_aada_14cd3d00f5ed_jpg_54fd026650.jpg,,,,,,,,,,,,,
45.6408,0.24232,Magnac-sur-Touvre,16600,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/0_C3_C4_AD_3_376_B_4_A15_BC_59_64490_E06_A236_jpg_2ff86441d8.jpg,,,,,,,,,,,,,
45.32977,1.34855,Chabrignac,19350,CA du Bassin de Brive,Corrèze,https://api.v2.clean2gether.com/uploads/be733ba6_6a62_4973_837f_03b686b00428_jpg_178bd75a0b.jpg,,,,,,,,,,,,,
45.79051,0.30149,La Rochette,16110,CC La Rochefoucauld - Porte du Périgord,Charente,https://api.v2.clean2gether.com/uploads/f36f37b3_c23c_4af0_8805_f1881a7aa143_jpg_2f00a9941d.jpg,,,,,,,,,,,,,
45.70096,-0.30341,Cognac,16100,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/36e979ab_3317_4350_a2b6_d1506aa05f5a_jpg_3c3d17a10f.jpg,,,,,,,,,,,,,
45.68827,0.11822,Saint-Yrieix-sur-Charente,16710,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/D64_C3_F8_F_6990_493_B_A47_A_CB_0_A7301_AC_17_jpg_5d0c85f1ee.jpg,,,,,,,,,,,,,
45.72287,-0.2841,Nercillac,16200,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/fd349ed9_75f9_4ebb_b9a6_31552f71e36a_jpg_99df8d6681.jpg,https://api.v2.clean2gether.com/uploads/fb3bfec1_9f81_474a_a353_2847252f894a_jpg_a40ffafe4f.jpg,,,,,,,,,,,,
45.68879,0.11724,Saint-Yrieix-sur-Charente,16710,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/E1716_D75_875_A_4_A80_A05_E_3_E730_D54_B955_jpg_417354db62.jpg,,,,,,,,,,,,,
44.83232,-0.76185,Martignas-sur-Jalle,33127,Bordeaux Métropole,Gironde,https://api.v2.clean2gether.com/uploads/44d0cfbb_cd21_4a2b_b93b_f13c72453874_jpg_8e95b9b65d.jpg,,,,,,,,,,,,,
45.64963,-0.00748,Champmillon,16290,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/DF_6_D767_C_3_BE_3_4414_8_DA_1_BBB_9_DCC_24905_jpg_344527f659.jpg,,,,,,,,,,,,,
44.83352,-0.76529,Martignas-sur-Jalle,33127,Bordeaux Métropole,Gironde,https://api.v2.clean2gether.com/uploads/41b6dd06_26be_42de_a098_6ef16d75f513_jpg_55f407d098.jpg,,,,,,,,,,,,,
45.67391,0.12587,Saint-Yrieix-sur-Charente,16710,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/eb8ea105_cdca_4a5b_8e34_9bc893ac5b5e_jpg_bfcee88ed2.jpg,https://api.v2.clean2gether.com/uploads/8020ac33_eefe_4209_9001_266e5e4826c1_jpg_2a51322873.jpg,,,,,,,,,,,,
45.65189,-0.3505,Gimeux,16130,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/0bb68d05_85b9_43b2_adf0_a75bc21a8aeb_jpg_28fa611b09.jpg,,,,,,,,,,,,,
